Title,Abstract,Authors,Year,Venue,DOI,Cited by,Actions
"Modelo de gestión de conocimiento aplicado a las pruebas de software","Las pruebas de software son una actividad intensiva en conocimiento y relevante para asegurar la calidad del producto de software. Por otro lado, la gestion de conocimiento es una disciplina transversal en las organizaciones que contribuye al aprendizaje organizacional y a la mejora continua de los procesos. A nivel academico y empresarial, existen varias iniciativas para articular la gestion del conocimiento a las pruebas de software, siendo la adopcion de estas practicas costosas y con largos periodos de implementacion, y en algunos casos, el esfuerzo invertido resulta infructuoso. Partiendo que el individuo es el principal dinamizador de cualquier estrategia para gestionar el conocimiento, las organizaciones intensivas en conocimiento deben ser analizadas como un sistema multicapa que integran tres niveles individual, grupal y organizacional. En consecuencia, en esta tesis se presenta un modelo de gestion de conocimiento que articula las practicas y actividades de las pruebas de software desde una estrategia individual basada en los principios de mejora continua y aprendizaje organizacional. El modelo se soporta en la definicion de un proceso de prueba personal basado en conocimiento (PTPk) que instancia la estructura e intencionalidad del proceso de software personal (PSP) e integra practicas de calidad a traves del aprendizaje basado en experiencias que inciden en la cultura y la conducta del profesional de pruebas de software.","D. Duran","2018","-","-","1","Include"
"The cost efficiency of exploratory testing : ISTQB certified testing compared with RST","-","Sampo Niittyviita","2017","-","-","-","Include"
"Aplicación de la Gestión de Conocimiento al proceso de pruebas de software Applying Knowledge Management to the software testing process","-","D. Duran; Adriana Xiomara Reyes Gamboa; J. Builes","2017","-","-","-","Include"
"FASSI 2016 Committee","-","C. Ireland; F. Fioravanti; Anup Gupta; V. Itsykson; Slinger Jansen; M. Marchiori; Richard Mordinyi; A. Duc; D. Perry; A. Hagemann; Gerrit Krepinsky; Mihaela Iridon; Daniel Flemstrom; T. Gustafsson; A. Kobetski; Daniel Sundmark; Kitija Trektere; F. McCaffery; Garret Coady; Matteo Gubellini; Young Jun Lee; J. Keum; Jang Soo; Lee Young Kuk; Kim; Daniel Flemstr¨om; Lee; Young Kuk Kim","2016","-","-","-","Include"
"What Influences Usability Defect Reporting? — A Survey of Software Development Practitioners","Software development organizations invest in test automation tools and methods to optimize defect discovery rates. The true value of these tools is realized when the defects are addressed before release, and hence good quality defect reports are critical. We describe a survey we conducted to better understand usability defect reporting, in particular, influences on the quality of usability defect reports. We analyze feedback from nearly 150 software developers and usability defect reporters and identify key determinants of quality defect reports, aspects of usability defects that are challenging to report and directions for future research into usability defect reporting tools to improve usability defect reports quality.","N. Yusop; Jean-Guy Schneider; J. Grundy; Rajesh Vasa","2016","Asia-Pacific Software Engineering Conference","10.1109/apsec.2016.014","10","Include"
"Exploration of the relationship between tacit knowledge and software system test complexity","This research has explored the relationship between system test complexity and tacit knowledge. It is proposed as part of this thesis, that the process of system testing (comprising of test planning, test development, test execution, test fault analysis, test measurement, and case management), is directly affected by both complexity associated with the system under test, and also by other sources of complexity, independent of the system under test, but related to the wider process of system testing. While a certain amount of knowledge related to the system under test is inherent, tacit in nature, and therefore difficult to make explicit, it has been found that a significant amount of knowledge relating to these other sources of complexity, can indeed be made explicit. While the importance of explicit knowledge has been reinforced by this research, there has been a lack of evidence to suggest that the availability of tacit knowledge to a test team is of any less importance to the process of system testing, when operating in a traditional software development environment. The sentiment was commonly expressed by participants, that even though a considerable amount of explicit knowledge relating to the system is freely available, that a good deal of knowledge relating to the system under test, which is demanded for effective system testing, is actually tacit in nature (approximately 60% of participants operating in a traditional development environment, and 60% of participants operating in an agile development environment, expressed similar sentiments). To cater for the availability of tacit knowledge relating to the system under test, and indeed, both explicit and tacit knowledge required by system testing in general, an appropriate knowledge management structure needs to be in place. This would appear to be required, irrespective of the employed development methodology.","Niall Geary","2016","Cork Open Research Archive (University College Cork)","-","-","Include"
"Computer Science and Software Engineering","-","R. Paper; Megha Chhabra","2016","Communications of the ACM","10.1145/280324.280341","-","Include"
"Knowledge management initiatives in software testing: A mapping study","-","É. Souza; R. Falbo; N. Vijaykumar","2015","Information and Software Technology","10.1016/j.infsof.2014.05.016","58","Include"
"Issues , Challenges and Best Practices of Software Testing Activity","-","Zulkefli Mansor","2015","-","-","3","Include"
"The Effect of Applying Design of Experiments Techniques to Software Performance Testing","Effective software performance testing is essential to the development and delivery of quality software products. Many software testing investigations have reported software performance testing improvements, but few have quantitatively validated measurable software testing performance improvements across an aggregate of studies. This study addressed that gap by conducting a meta-analysis to assess the relationship between applying Design of Experiments (DOE) techniques in the software testing process and the reported software performance testing improvements. Software performance testing theories and DOE techniques composed the theoretical framework for this study. Software testing studies (n = 96) were analyzed, where half had DOE techniques applied and the other half did not. Five research hypotheses were tested, where findings were measured in (a) the number of detected defects, (b) the rate of defect detection, (c) the phase in which the defect was detected, (d) the total number of hours it took to complete the testing, and (e) an overall hypothesis which included all measurements for all findings. The data were analyzed by first computing standard difference in means effect sizes, then through the Z test, the Q test, and the t test in statistical comparisons. Results of the meta-analysis showed that applying DOE techniques in the software testing process improved software performance testing (p < 05). These results have social implications for the software testing industry and software testing professionals, providing another empirically-validated testing methodology. Software organizations can use this methodology to differentiate their software testing process, to create more quality products, and to benefit the consumer and society in general.","Gloria Johnson","2015","ScholarWorks (Walden University)","-","-","Include"
"Dynamic updates of mobile apps using JavaScript","Updates are a natural part of the life cycle of an application. The traditional way of updating an application by stopping it, replacing it with the new version and restarting it is lacking in many ways. There have been previous research in the field of dynamic software updates (DSU) that attempt to salvage this problem by updating the app while running. Most of the previous research have focused on static languages like C and Java, research with dynamic languages have been lacking. This thesis takes advantage of the dynamic features of JavaScript in order to allow for dynamic updates of applications for mobile devices. The solution is implemented and used to answer questions about how correctness can be ensured and what state transfer needs to be manually written by a programmer. The conclusion is that most failures that occur as the result of an update and is in need of a manually written state transfer can be put into one of three categories. To verify correctness of an update tests for these types of failures should be performed.","Simon Spetz-Nyström","2015","KTH Publication Database DiVA (KTH Royal Institute of Technology)","-","-","Include"
"Automated Test Oracles: State of the Art, Taxonomies, and Trends","-","Rafael Oliveira; Upulee Kanewala; P. Nardi","2015","Advances in Computing","10.1016/b978-0-12-800160-8.00003-6","31","Include"
"SOFTWARE TESTERS PERSONALITY AND KNOWLEDGE IN SOFTWARE TESTING","-","J.Jayashree Dr; Persis Urbana; J.Vijayashree","2015","-","-","-","Include"
"A Review on Systematic Quality Software Designing and DevelopmentPractices","-","Iosr Journals; M. Narendhar; K. Anuradha","2015","-","-","-","Include"
"Testing of Heterogeneous Systems","Context: A system of systems often exhibits heterogeneity, for instance in implementation, hardware, process and verification. We define a heterogeneous system, as a system comprised of multiple systems (system of systems) where at least one subsystem exhibits heterogeneity with respect to the other systems. The system of systems approach taken in development of heterogeneous systems give rise to various challenges due to continuous change in configurations and multiple interactions between the functionally independent subsystems. The challenges posed to testing of heterogeneous systems are mainly related to interoperability, conformance and large regression test suites. Furthermore, the inherent complexities of heterogeneous systems also pose challenge to the specification, selection and execution of tests. Objective: The main objective of this licentiate thesis is to provide an insight on the state of the art in testing heterogeneous systems. Moreover, we also aimed to investigate different test techniques used to test heterogeneous systems in industrial settings and their usefulness as well as to identify and prioritize different information sources that can help practitioners to define a generic search space for test case selection process. Method: The findings presented in this thesis are obtained through a controlled experiment, a systematic literature review (SLR), a case study and an exploratory survey. The purpose of systematic literature review was to investigate the existing state of art in testing heterogeneous systems and identification of research gaps. The results from the SLR further laid down the foundation of action research conducted through an exploratory survey to compare different test techniques. We also conducted an industrial case study to investigate the relevant data sources for search space initiation to prioritize and specify test cases in context of heterogeneous systems. Results: Based on our literature review, we found that testing of heterogeneous systems is considered a problem of integration and system testing. It has been observed that multiple interactions between the system and subsystems results into a testing challenge, especially when the configurations change continuously. It is also observed that current literature targets the problem of testing heterogeneous systems with multiple test objectives resulting in employing different test methods to reach a domain specific testing challenge. Using the exploratory survey, we found three test techniques to be most relevant in context of testing heterogeneous systems. However, the most frequently used technique mentioned by the practitioners is manual exploratory testing which is not a much researched topic in the context of heterogeneous systems. Moreover, multiple information sources for test selection process are identified through the case study and the survey. Conclusion: Companies engaged in development of heterogeneous systems encounter huge challenges due to multiple interactions between the system and subsystems. However, the conclusions we draw from the research studies included herein show a gap between literature and industry. Search-based testing is widely discussed in the literature but is the least used test technique in industrial practice. Moreover, for test selection process there are no frameworks that take in account all the information sources that we investigated. Therefore, to fill this gap there is a need for an optimized test selection process based on the information sources. There is also a need to study different test techniques identified through our SLR and survey and compare these techniques on real heterogeneous systems.","N. Ghazi","2014","KTH Publication Database DiVA (KTH Royal Institute of Technology)","-","4","Include"
"A Survey on Test Case Reduction Techniques","-","Vaibhav Chaurasia; Yogita Chauhan; M. Tech","2014","-","-","4","Include"
"Test Exude: Approach for Test Case Reduction","Software development is a planned and structured process includes research, new development, modification, re-engineering results in software products. The structure of development of software is SDLC. It contains various process and activities to accomplish the task of the software product. In SDLC, testing is the most expensive phase. It is used to validate the software with all possible combinations. Exhaustive testing is impossible task in software testing, as, it is impractical with large software products. Now, automation is applied to generate the test cases for various applications, but the selection and reduction of test cases by automation is the main problem. This target only be achieved, when test cases is contained in large test suites. The technique we propose for test case reduction, called TestExude. It is a technique which gives test cases needed and discard other test cases from the Test Suite. It reduces the redundant test cases and its corresponding elements. This technique works on frequency of test cases in test suite and accepts largest frequency occurred in test suites and discard test cases on the base of frequency selected. Storage is well managed in this technique by reducing the test cases drastically in test suite. Test Suites size, user time, organization cost, storage cost are reduce efficiently. Ultimately, it improves and generate effective test case. This technique is more advantageous than any other techniques as it reduces the cost and time to its minimum extent.","Vaibhav Chaurasia; K. Thirunavukkarasu","2014","IOSR Journal of Computer Engineering","10.9790/0661-16381623","1","Include"
"A Chronological Survey on Combinatorial Testing Strategies","-","B.Vani; Dr. R. Deepa Lakshmi","2014","-","-","-","Include"
"Exploratory Risk-Based Testing Approach","-","Mahmoud","2013","-","-","-","Include"
"Integrating Exploratory Testing In Software Testing Life Cycle, A Controlled Experiment","Context. Software testing is one of the crucial phases in software development life cycle (SDLC). Among the different manual testing methods in software testing, Exploratory testing (ET) uses no predefined test cases to detect defects. Objectives. The main objective of this study is to test the effectiveness of ET in detecting defects at different software test levels. The objective is achieved by formulating hypotheses, which are later tested for acceptance or rejection. Methods. Methods used in this thesis are literature review and experiment. Literature review is conducted to get in-depth knowledge on the topic of ET and to collect data relevant to ET. Experiment was performed to test hypotheses specific to the three different testing levels : unit , integration and system. Results. The experimental results showed that using ET did not find all the seeded defects at the three levels of unit, integration and system testing. The results were analyzed using statistical tests and interpreted with the help of bar graphs. Conclusions. We conclude that more research is required in generalizing the benefits of ET at different test levels. Particularly, a qualitative study to highlight factors responsible for the success and failure of ET is desirable. Also we encourage a replication of this experiment with subjects having a sound technical and domain knowledge.","Tanveer Ahmed; Madhumitha Raju","2012","KTH Publication Database DiVA (KTH Royal Institute of Technology)","-","-","Include"
"Strategies of Automated Test Oracle – A Survey 1","-","K. Kanagaraj; A. Chakrapani","-","-","-","1","Include"
